日期,操作,股价,PE,回撤,交易股数,交易金额,总持仓,总投入,当前市值,收益
2019-10-23,SELL,56.31121624489501,80.1436,-3.710200043930445,-163.5729148351839,9210.989779091835,163.5729148351839,3984.375,9210.989779091835,14437.60455818367
2019-11-22,SELL,60.52833162396449,80.5023,-6.953395873826462,-81.78645741759195,4950.397816921256,81.78645741759195,1992.1875,4950.397816921256,7908.608133842512
2019-12-23,SELL,57.977565883413405,77.1096,-10.874536333374408,-40.893228708795974,2370.889861649711,40.893228708795974,996.09375,2370.889861649711,3745.6859732994217
2020-01-22,SELL,61.44654915772606,81.7237,-5.541874672541647,-20.446614354397987,1256.3738940365831,20.446614354397987,498.046875,1256.3738940365831,2014.7009130731662
2020-02-21,SELL,61.3580841068628,81.606,-5.677866733545633,-10.223307177198993,627.2825416288699,10.223307177198993,249.0234375,627.2825416288699,1005.5416457577398
2020-03-27,SELL,61.8275536454663,75.4481,-4.956179134767624,-5.111653588599497,316.04103646617574,5.111653588599497,124.51171875,316.04103646617574,507.5703541823515
2020-04-27,SELL,65.5414449355234,79.971,-2.172659574914748,-2.5558267942997484,167.51258110333225,2.5558267942997484,62.255859375,167.51258110333225,272.7693028316645
2020-05-27,SELL,65.35232569059363,77.7586,-3.677407987064829,-1.2779133971498742,83.5146125349115,1.2779133971498742,31.1279296875,83.5146125349115,135.901295382323
2020-06-29,SELL,75.46415760405398,89.7918,-2.401750564028171,-0.6389566985749371,48.21832900342507,0.6389566985749371,15.56396484375,48.21832900342507,80.87269316310014
2020-07-29,SELL,78.42574435187315,93.3161,-6.9319120645579435,-0.31947834928746854,25.055327347177442,0.31947834928746854,7.781982421875,25.055327347177442,42.328672272479885
2020-08-28,SELL,78.04924047085409,90.7597,-7.378710454503734,-0.15973917464373427,12.467521254384573,0.15973917464373427,3.8909912109375,12.467521254384573,21.044051297831647
2020-09-28,SELL,72.47791128190832,84.2803,-13.990225068221463,-0.07986958732186714,5.788780864036916,0.07986958732186714,1.94549560546875,5.788780864036916,9.632066122605082
2020-10-28,SELL,74.75231164098669,83.2414,-11.291186705647716,-0.03993479366093357,2.985218141060606,0.03993479366093357,0.972747802734375,2.985218141060606,4.997688479386837
2020-11-27,SELL,71.14446589679751,79.2233,-15.572629078335753,-0.019967396830466784,1.4205697828529669,0.019967396830466784,0.4863739013671875,1.4205697828529669,2.3547656643387462
2020-12-28,SELL,90.81975892353391,101.1361,-3.4862923748657293,-0.009983698415233392,0.9067170832367643,0.009983698415233392,0.24318695068359375,0.9067170832367643,1.5702472157899348
2021-01-27,SELL,87.23652587235118,97.1453,-7.294176376691164,-0.004991849207616696,0.4354715825511296,0.004991849207616696,0.12159347534179688,0.4354715825511296,0.7493496897604623
2021-02-26,SELL,83.29319740215374,92.7536,-11.484731995352737,-0.002495924603808348,0.20789354072590108,0.002495924603808348,0.06079673767089844,0.20789354072590108,0.3549903437809037
2021-03-29,SELL,74.07323572060804,82.4851,-21.282739572061438,-0.001247962301904174,0.0924406057593805,0.001247962301904174,0.03039836883544922,0.0924406057593805,0.15448284268331178
2021-07-27,BUY,53.63401158427065,53.5621,-43.00340174690764,186.44885408744474,10000.0,186.45010204974665,10000.030398368835,10000.066933224556,0.036534855720674386
2021-08-26,BUY,44.59051119125139,45.7636,-52.61388478699723,224.26295937961774,10000.0,410.7130614293644,20000.030398368835,18313.90536205919,-1686.1250363096442
2021-09-27,BUY,49.94388912345981,51.2581,-46.92487659450659,200.2246956635735,10000.0,610.9377570929379,30000.030398368835,30512.607601584914,512.5772032160785
2021-10-27,BUY,48.28068053338224,50.0017,-48.692360118851894,207.1221840604711,10000.0,818.059941153409,40000.030398368835,39496.49067598522,-503.53972238361894
2021-11-26,BUY,51.518210730794,53.3548,-45.251852826120306,194.10612011070282,10000.0,1012.1660612641118,50000.030398368835,52144.984438762265,2144.9540403934298
2021-12-27,BUY,49.60906273593172,51.3658,-47.280694936837506,201.57607196148507,10000.0,1213.742133225597,60000.030398368835,60212.609632432235,212.57923406339978
2022-01-26,BUY,41.42166212765768,42.8881,-55.03938887076756,241.41957339087304,10000.0,1455.16170661647,70000.03039836884,60275.216552573154,-9724.813845795681
2022-02-25,BUY,39.47322758662507,40.7618,-56.0377582118994,253.3362638779595,10000.0,1708.4979704944294,80000.03039836884,67439.92922061366,-12560.101177755176
